           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.0      0000/0400      0000/0090      0.01000        4.62083        4.62113        4.91674        0.03125
            0.0      0000/0400      0001/0090      0.01000        4.61968        4.61999        5.08523        0.00000
            0.0      0000/0400      0002/0090      0.01000        4.61986        4.62015        4.78819        0.03125
            0.0      0000/0400      0003/0090      0.01000        4.61986        4.62014        4.58996        0.00000
            0.0      0000/0400      0004/0090      0.01000        4.62097        4.62128        5.00724        0.00000
            0.0      0000/0400      0005/0090      0.01000        4.61891        4.61919        4.43414        0.06250
            0.0      0000/0400      0006/0090      0.01000        4.61870        4.61896        4.38916        0.03125
            0.0      0000/0400      0007/0090      0.01000        4.62054        4.62083        4.61582        0.03125
            0.0      0000/0400      0008/0090      0.01000        4.61922        4.61947        4.14170        0.06250
            0.0      0000/0400      0009/0090      0.01000        4.61813        4.61838        4.02458        0.09375
            0.0      0000/0400      0010/0090      0.01000        4.61905        4.61931        4.30641        0.03125
            0.0      0000/0400      0011/0090      0.01000        4.62003        4.62028        4.10965        0.00000
            0.0      0000/0400      0012/0090      0.01000        4.61828        4.61855        4.40087        0.00000
            0.0      0000/0400      0013/0090      0.01000        4.61945        4.61973        4.60270        0.00000
            0.0      0000/0400      0014/0090      0.01000        4.61877        4.61902        4.08212        0.03125
            0.0      0000/0400      0015/0090      0.01000        4.61853        4.61878        4.12122        0.03125
            0.0      0000/0400      0016/0090      0.01000        4.61956        4.61979        3.83161        0.00000
            0.0      0000/0400      0017/0090      0.01000        4.62237        4.62258        3.37221        0.12500
            0.0      0000/0400      0018/0090      0.01000        4.61986        4.62008        3.63835        0.03125
            0.0      0000/0400      0019/0090      0.01000        4.61885        4.61908        3.69512        0.06250
            0.0      0000/0400      0020/0090      0.01000        4.62006        4.62031        4.07301        0.03125
            0.0      0000/0400      0021/0090      0.01000        4.62026        4.62051        4.13074        0.03125
            0.0      0000/0400      0022/0090      0.01000        4.62022        4.62049        4.36927        0.00000
            0.0      0000/0400      0023/0090      0.01000        4.61797        4.61821        3.85566        0.09375
            0.1      0000/0400      0024/0090      0.01000        4.61910        4.61934        3.90357        0.06250
            0.1      0000/0400      0025/0090      0.01000        4.62117        4.62143        4.28542        0.00000
            0.1      0000/0400      0026/0090      0.01000        4.62099        4.62123        3.93320        0.06250
            0.1      0000/0400      0027/0090      0.01000        4.61928        4.61951        3.76997        0.09375
            0.1      0000/0400      0028/0090      0.01000        4.61996        4.62019        3.85094        0.03125
            0.1      0000/0400      0029/0090      0.01000        4.62215        4.62238        3.79481        0.09375
            0.1      0000/0400      0030/0090      0.01000        4.62225        4.62247        3.67155        0.03125
            0.1      0000/0400      0031/0090      0.01000        4.62132        4.62156        3.97042        0.06250
            0.1      0000/0400      0032/0090      0.01000        4.62280        4.62305        4.06466        0.06250
            0.1      0000/0400      0033/0090      0.01000        4.62130        4.62154        4.02068        0.06250
            0.1      0000/0400      0034/0090      0.01000        4.62187        4.62211        4.06087        0.03125
            0.1      0000/0400      0035/0090      0.01000        4.62519        4.62541        3.70702        0.06250
            0.1      0000/0400      0036/0090      0.01000        4.62060        4.62084        3.86260        0.12500
            0.1      0000/0400      0037/0090      0.01000        4.62162        4.62188        4.23235        0.03125
            0.1      0000/0400      0038/0090      0.01000        4.62167        4.62191        3.94436        0.06250
            0.1      0000/0400      0039/0090      0.01000        4.61979        4.62004        4.08714        0.06250
            0.1      0000/0400      0040/0090      0.01000        4.62182        4.62206        3.86487        0.03125
            0.1      0000/0400      0041/0090      0.01000        4.62276        4.62302        4.24377        0.00000
            0.1      0000/0400      0042/0090      0.01000        4.62085        4.62111        4.29525        0.03125
            0.1      0000/0400      0043/0090      0.01000        4.62142        4.62168        4.22355        0.00000
            0.1      0000/0400      0044/0090      0.01000        4.62059        4.62082        3.79229        0.06250
            0.1      0000/0400      0045/0090      0.01000        4.62262        4.62284        3.72076        0.06250
            0.1      0000/0400      0046/0090      0.01000        4.62203        4.62228        4.10198        0.03125
            0.1      0000/0400      0047/0090      0.01000        4.62056        4.62079        3.82623        0.03125
            0.1      0000/0400      0048/0090      0.01000        4.62178        4.62203        4.08818        0.00000
            0.1      0000/0400      0049/0090      0.01000        4.62180        4.62205        3.96318        0.00000
            0.1      0000/0400      0050/0090      0.01000        4.62309        4.62336        4.33500        0.03125
            0.1      0000/0400      0051/0090      0.01000        4.62217        4.62242        4.08108        0.03125
            0.1      0000/0400      0052/0090      0.01000        4.62149        4.62175        4.29593        0.00000
            0.1      0000/0400      0053/0090      0.01000        4.62034        4.62058        3.85617        0.06250
            0.1      0000/0400      0054/0090      0.01000        4.62096        4.62120        3.92386        0.03125
            0.1      0000/0400      0055/0090      0.01000        4.61993        4.62014        3.47842        0.06250
            0.1      0000/0400      0056/0090      0.01000        4.62165        4.62189        3.92499        0.12500
            0.1      0000/0400      0057/0090      0.01000        4.62089        4.62110        3.53564        0.09375
            0.1      0000/0400      0058/0090      0.01000        4.62118        4.62142        4.03512        0.09375
            0.1      0000/0400      0059/0090      0.01000        4.62019        4.62041        3.57442        0.06250
            0.1      0000/0400      0060/0090      0.01000        4.62308        4.62334        4.30224        0.00000
            0.1      0000/0400      0061/0090      0.01000        4.62128        4.62152        3.96392        0.03125
            0.1      0000/0400      0062/0090      0.01000        4.62154        4.62181        4.27101        0.03125
            0.1      0000/0400      0063/0090      0.01000        4.61992        4.62017        4.12653        0.00000
            0.1      0000/0400      0064/0090      0.01000        4.62042        4.62064        3.60026        0.06250
            0.1      0000/0400      0065/0090      0.01000        4.62256        4.62283        4.51452        0.09375
            0.1      0000/0400      0066/0090      0.01000        4.62144        4.62170        4.13734        0.03125
            0.1      0000/0400      0067/0090      0.01000        4.62196        4.62221        4.10486        0.00000
            0.1      0000/0400      0068/0090      0.01000        4.61977        4.61999        3.66262        0.12500
            0.1      0000/0400      0069/0090      0.01000        4.61910        4.61936        4.31877        0.00000
            0.1      0000/0400      0070/0090      0.01000        4.61950        4.61977        4.44689        0.03125
            0.1      0000/0400      0071/0090      0.01000        4.62042        4.62068        4.28161        0.03125
            0.1      0000/0400      0072/0090      0.01000        4.62045        4.62068        3.76982        0.06250
            0.1      0000/0400      0073/0090      0.01000        4.62031        4.62055        3.94913        0.03125
            0.1      0000/0400      0074/0090      0.01000        4.61987        4.62009        3.69009        0.03125
            0.1      0000/0400      0075/0090      0.01000        4.62126        4.62147        3.39958        0.03125
            0.1      0000/0400      0076/0090      0.01000        4.62072        4.62095        3.84072        0.09375
            0.1      0000/0400      0077/0090      0.01000        4.62059        4.62085        4.21408        0.06250
            0.1      0000/0400      0078/0090      0.01000        4.62213        4.62234        3.55864        0.09375
            0.1      0000/0400      0079/0090      0.01000        4.61979        4.62002        3.78817        0.03125
            0.1      0000/0400      0080/0090      0.01000        4.62223        4.62247        3.98257        0.03125
            0.1      0000/0400      0081/0090      0.01000        4.61981        4.62003        3.51066        0.06250
            0.1      0000/0400      0082/0090      0.01000        4.61938        4.61961        3.60530        0.03125
            0.1      0000/0400      0083/0090      0.01000        4.61744        4.61766        3.60004        0.06250
            0.1      0000/0400      0084/0090      0.01000        4.62189        4.62213        3.84003        0.15625
            0.1      0000/0400      0085/0090      0.01000        4.61990        4.62016        4.33454        0.12500
            0.1      0000/0400      0086/0090      0.01000        4.61959        4.61984        4.16279        0.06250
            0.1      0000/0400      0087/0090      0.01000        4.61787        4.61809        3.73057        0.06250
            0.2      0000/0400      0088/0090      0.01000        4.61990        4.62014        3.95393        0.06250
            0.2      0000/0400      0089/0090      0.01000        4.62002        4.62026        3.87410        0.12500
            0.2      0001/0400      0000/0090      0.01000        4.61962        4.61986        3.99283        0.06250
            0.2      0001/0400      0001/0090      0.01000        4.62125        4.62147        3.59073        0.12500
            0.2      0001/0400      0002/0090      0.01000        4.61970        4.61996        4.24034        0.03125
            0.2      0001/0400      0003/0090      0.01000        4.62030        4.62056        4.30389        0.03125
            0.2      0001/0400      0004/0090      0.01000        4.61921        4.61944        3.77198        0.09375
            0.2      0001/0400      0005/0090      0.01000        4.61998        4.62021        3.78079        0.03125
            0.2      0001/0400      0006/0090      0.01000        4.62244        4.62266        3.59472        0.06250
            0.2      0001/0400      0007/0090      0.01000        4.62195        4.62217        3.58497        0.06250
            0.2      0001/0400      0008/0090      0.01000        4.61921        4.61946        4.08473        0.09375
