           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.0      0000/0400      0000/0090      0.01000        4.63315        4.63323        4.72516        0.03125
            0.1      0000/0400      0001/0090      0.01000        4.63459        4.63466        4.33288        0.06250
            0.1      0000/0400      0002/0090      0.01000        4.63529        4.63536        4.73979        0.00000
            0.1      0000/0400      0003/0090      0.01000        4.63470        4.63477        4.45812        0.03125
            0.1      0000/0400      0004/0090      0.01000        4.63343        4.63350        4.63798        0.00000
            0.1      0000/0400      0005/0090      0.01000        4.63438        4.63444        4.26434        0.06250
            0.1      0000/0400      0006/0090      0.01000        4.63592        4.63599        4.52837        0.06250
            0.1      0000/0400      0007/0090      0.01000        4.63686        4.63693        4.19926        0.03125
            0.1      0000/0400      0008/0090      0.01000        4.63439        4.63445        4.20578        0.03125
            0.1      0000/0400      0009/0090      0.01000        4.63533        4.63540        4.14365        0.00000
            0.1      0000/0400      0010/0090      0.01000        4.63549        4.63555        4.17959        0.00000
            0.1      0000/0400      0011/0090      0.01000        4.63501        4.63508        4.19064        0.00000
            0.2      0000/0400      0012/0090      0.01000        4.63431        4.63437        4.05830        0.00000
            0.2      0000/0400      0013/0090      0.01000        4.63421        4.63427        4.12270        0.03125
            0.2      0000/0400      0014/0090      0.01000        4.63492        4.63498        4.27154        0.00000
            0.2      0000/0400      0015/0090      0.01000        4.63455        4.63461        3.66980        0.06250
            0.2      0000/0400      0016/0090      0.01000        4.63458        4.63465        4.15353        0.06250
            0.2      0000/0400      0017/0090      0.01000        4.63611        4.63617        3.93040        0.03125
            0.2      0000/0400      0018/0090      0.01000        4.63590        4.63596        4.01553        0.06250
            0.2      0000/0400      0019/0090      0.01000        4.63690        4.63696        3.63391        0.09375
            0.2      0000/0400      0020/0090      0.01000        4.63438        4.63444        3.88396        0.00000
            0.2      0000/0400      0021/0090      0.01000        4.63484        4.63490        3.96547        0.03125
            0.2      0000/0400      0022/0090      0.01000        4.63597        4.63603        3.75441        0.03125
            0.2      0000/0400      0023/0090      0.01000        4.63572        4.63578        3.54563        0.12500
            0.3      0000/0400      0024/0090      0.01000        4.63362        4.63369        4.44634        0.00000
            0.3      0000/0400      0025/0090      0.01000        4.63656        4.63662        3.79737        0.09375
            0.3      0000/0400      0026/0090      0.01000        4.63713        4.63719        3.93246        0.03125
            0.3      0000/0400      0027/0090      0.01000        4.63521        4.63527        4.02605        0.03125
            0.3      0000/0400      0028/0090      0.01000        4.63741        4.63747        4.14590        0.00000
            0.3      0000/0400      0029/0090      0.01000        4.63571        4.63577        3.81113        0.03125
            0.3      0000/0400      0030/0090      0.01000        4.63579        4.63585        3.82605        0.03125
            0.3      0000/0400      0031/0090      0.01000        4.63563        4.63570        4.22242        0.03125
            0.3      0000/0400      0032/0090      0.01000        4.63671        4.63677        3.83368        0.03125
            0.3      0000/0400      0033/0090      0.01000        4.63538        4.63544        4.03663        0.03125
            0.3      0000/0400      0034/0090      0.01000        4.63637        4.63643        3.89006        0.09375
            0.4      0000/0400      0035/0090      0.01000        4.63694        4.63700        4.03742        0.06250
            0.4      0000/0400      0036/0090      0.01000        4.63445        4.63451        4.25770        0.00000
            0.4      0000/0400      0037/0090      0.01000        4.63492        4.63498        4.06515        0.06250
            0.4      0000/0400      0038/0090      0.01000        4.63538        4.63544        4.10091        0.00000
            0.4      0000/0400      0039/0090      0.01000        4.63453        4.63459        3.74659        0.06250
            0.4      0000/0400      0040/0090      0.01000        4.63725        4.63730        3.62399        0.03125
            0.4      0000/0400      0041/0090      0.01000        4.63571        4.63577        4.03182        0.00000
            0.4      0000/0400      0042/0090      0.01000        4.63537        4.63543        3.74099        0.06250
            0.4      0000/0400      0043/0090      0.01000        4.64013        4.64018        3.57217        0.06250
            0.4      0000/0400      0044/0090      0.01000        4.63756        4.63762        4.12884        0.03125
            0.4      0000/0400      0045/0090      0.01000        4.63799        4.63805        4.12965        0.00000
            0.5      0000/0400      0046/0090      0.01000        4.63701        4.63708        4.18365        0.09375
            0.5      0000/0400      0047/0090      0.01000        4.63679        4.63685        4.10733        0.03125
            0.5      0000/0400      0048/0090      0.01000        4.63997        4.64003        3.80946        0.03125
            0.5      0000/0400      0049/0090      0.01000        4.63998        4.64005        4.30557        0.00000
            0.5      0000/0400      0050/0090      0.01000        4.63839        4.63845        4.03892        0.12500
            0.5      0000/0400      0051/0090      0.01000        4.63973        4.63978        3.70676        0.06250
            0.5      0000/0400      0052/0090      0.01000        4.63679        4.63685        4.35165        0.03125
            0.5      0000/0400      0053/0090      0.01000        4.63777        4.63784        4.18604        0.03125
            0.5      0000/0400      0054/0090      0.01000        4.63656        4.63661        3.57342        0.03125
            0.5      0000/0400      0055/0090      0.01000        4.63726        4.63732        3.64175        0.09375
            0.5      0000/0400      0056/0090      0.01000        4.64207        4.64213        3.65639        0.00000
            0.6      0000/0400      0057/0090      0.01000        4.63973        4.63979        4.19968        0.06250
            0.6      0000/0400      0058/0090      0.01000        4.64248        4.64254        3.62695        0.03125
            0.6      0000/0400      0059/0090      0.01000        4.64020        4.64026        4.04568        0.03125
            0.6      0000/0400      0060/0090      0.01000        4.63646        4.63654        4.88207        0.03125
            0.6      0000/0400      0061/0090      0.01000        4.63989        4.63995        3.75291        0.06250
            0.6      0000/0400      0062/0090      0.01000        4.64413        4.64420        4.04351        0.03125
            0.6      0000/0400      0063/0090      0.01000        4.63727        4.63733        3.77495        0.06250
            0.6      0000/0400      0064/0090      0.01000        4.63801        4.63807        4.04843        0.03125
            0.6      0000/0400      0065/0090      0.01000        4.63921        4.63927        4.03092        0.00000
            0.6      0000/0400      0066/0090      0.01000        4.64074        4.64080        3.96297        0.00000
            0.6      0000/0400      0067/0090      0.01000        4.64086        4.64093        4.65853        0.06250
            0.6      0000/0400      0068/0090      0.01000        4.64007        4.64013        3.72323        0.06250
            0.7      0000/0400      0069/0090      0.01000        4.64089        4.64096        4.11368        0.00000
            0.7      0000/0400      0070/0090      0.01000        4.64130        4.64137        4.55104        0.03125
            0.7      0000/0400      0071/0090      0.01000        4.63766        4.63772        4.45113        0.06250
            0.7      0000/0400      0072/0090      0.01000        4.63855        4.63862        4.66917        0.03125
            0.7      0000/0400      0073/0090      0.01000        4.64172        4.64178        4.14349        0.06250
            0.7      0000/0400      0074/0090      0.01000        4.63798        4.63805        4.35739        0.06250
            0.7      0000/0400      0075/0090      0.01000        4.64017        4.64025        4.70856        0.06250
            0.7      0000/0400      0076/0090      0.01000        4.64257        4.64264        4.70460        0.00000
            0.7      0000/0400      0077/0090      0.01000        4.63895        4.63902        5.11048        0.09375
            0.7      0000/0400      0078/0090      0.01000        4.63960        4.63971        7.80564        0.12500
            0.8      0000/0400      0079/0090      0.01000        4.64159        4.64167        5.11380        0.03125
            0.8      0000/0400      0080/0090      0.01000        4.64428        4.64436        5.44993        0.00000
            0.8      0000/0400      0081/0090      0.01000        4.63933        4.63940        5.14940        0.03125
            0.8      0000/0400      0082/0090      0.01000        4.64401        4.64407        4.04410        0.09375
            0.8      0000/0400      0083/0090      0.01000        4.64168        4.64175        4.94587        0.12500
            0.8      0000/0400      0084/0090      0.01000        4.64164        4.64170        3.63950        0.06250
            0.8      0000/0400      0085/0090      0.01000        4.63957        4.63965        5.23554        0.03125
            0.8      0000/0400      0086/0090      0.01000        4.63871        4.63879        5.33691        0.03125
            0.8      0000/0400      0087/0090      0.01000        4.63861        4.63869        5.21840        0.09375
            0.8      0000/0400      0088/0090      0.01000        4.64262        4.64271        6.32897        0.06250
            0.8      0000/0400      0089/0090      0.01000        4.64522        4.64530        5.28200        0.00000
            1.5      0001/0400      0000/0090      0.01000        4.63782        4.63788        4.27737        0.03125
            1.5      0001/0400      0001/0090      0.01000        4.63809        4.63815        4.17058        0.03125
            1.5      0001/0400      0002/0090      0.01000        4.63995        4.64002        4.60946        0.15625
            1.5      0001/0400      0003/0090      0.01000        4.64351        4.64357        3.90014        0.09375
            1.5      0001/0400      0004/0090      0.01000        4.63764        4.63771        4.41930        0.06250
            1.5      0001/0400      0005/0090      0.01000        4.63895        4.63907        8.23883        0.00000
            1.5      0001/0400      0006/0090      0.01000        4.63880        4.63887        4.60909        0.03125
            1.6      0001/0400      0007/0090      0.01000        4.64329        4.64336        4.77430        0.03125
            1.6      0001/0400      0008/0090      0.01000        4.63856        4.63863        4.90249        0.09375
            1.6      0001/0400      0009/0090      0.01000        4.63724        4.63733        5.97296        0.00000
            1.6      0001/0400      0010/0090      0.01000        4.63751        4.63759        4.74012        0.09375
            1.6      0001/0400      0011/0090      0.01000        4.63692        4.63701        5.70332        0.03125
            1.6      0001/0400      0012/0090      0.01000        4.63703        4.63711        5.68166        0.09375
            1.6      0001/0400      0013/0090      0.01000        4.63964        4.63970        4.06487        0.09375
            1.6      0001/0400      0014/0090      0.01000        4.63525        4.63537        7.52532        0.00000
            1.6      0001/0400      0015/0090      0.01000        4.64054        4.64064        6.94209        0.03125
            1.6      0001/0400      0016/0090      0.01000        4.63656        4.63663        4.64117        0.06250
            1.6      0001/0400      0017/0090      0.01000        4.63773        4.63782        6.22854        0.12500
            1.7      0001/0400      0018/0090      0.01000        4.63424        4.63431        5.10656        0.09375
            1.7      0001/0400      0019/0090      0.01000        4.63526        4.63534        4.76590        0.06250
            1.7      0001/0400      0020/0090      0.01000        4.63561        4.63571        6.99796        0.03125
            1.7      0001/0400      0021/0090      0.01000        4.63433        4.63441        5.55786        0.06250
            1.7      0001/0400      0022/0090      0.01000        4.63385        4.63395        6.41069        0.06250
            1.7      0001/0400      0023/0090      0.01000        4.63464        4.63474        6.08467        0.00000
            1.7      0001/0400      0024/0090      0.01000        4.63360        4.63365        3.63276        0.09375
            1.7      0001/0400      0025/0090      0.01000        4.63496        4.63503        4.32732        0.03125
            1.7      0001/0400      0026/0090      0.01000        4.63389        4.63400        6.98700        0.03125
            1.7      0001/0400      0027/0090      0.01000        4.63552        4.63560        5.48104        0.09375
            1.7      0001/0400      0028/0090      0.01000        4.63322        4.63330        5.23936        0.00000
            1.8      0001/0400      0029/0090      0.01000        4.63322        4.63330        5.29287        0.06250
            1.8      0001/0400      0030/0090      0.01000        4.63364        4.63370        4.04240        0.03125
            1.8      0001/0400      0031/0090      0.01000        4.62899        4.62907        5.14034        0.06250
            1.8      0001/0400      0032/0090      0.01000        4.63329        4.63335        4.23496        0.09375
            1.8      0001/0400      0033/0090      0.01000        4.62972        4.62982        6.20282        0.00000
            1.8      0001/0400      0034/0090      0.01000        4.63223        4.63229        4.36868        0.00000
            1.8      0001/0400      0035/0090      0.01000        4.62793        4.62802        5.90487        0.06250
            1.8      0001/0400      0036/0090      0.01000        4.62816        4.62824        5.47875        0.00000
            1.8      0001/0400      0037/0090      0.01000        4.62972        4.62981        5.75974        0.03125
            1.8      0001/0400      0038/0090      0.01000        4.62752        4.62762        6.57282        0.03125
            1.8      0001/0400      0039/0090      0.01000        4.62755        4.62763        4.91491        0.03125
            1.9      0001/0400      0040/0090      0.01000        4.63067        4.63073        3.90621        0.03125
            1.9      0001/0400      0041/0090      0.01000        4.62722        4.62729        4.26264        0.12500
            1.9      0001/0400      0042/0090      0.01000        4.63085        4.63091        3.56643        0.15625
            1.9      0001/0400      0043/0090      0.01000        4.62611        4.62621        6.92272        0.03125
            1.9      0001/0400      0044/0090      0.01000        4.62907        4.62916        5.88529        0.06250
            1.9      0001/0400      0045/0090      0.01000        4.62777        4.62784        4.38119        0.06250
            1.9      0001/0400      0046/0090      0.01000        4.62522        4.62528        4.14374        0.03125
            1.9      0001/0400      0047/0090      0.01000        4.62435        4.62442        4.09242        0.06250
            1.9      0001/0400      0048/0090      0.01000        4.62592        4.62605        8.29579        0.03125
            1.9      0001/0400      0049/0090      0.01000        4.62698        4.62705        4.36885        0.03125
            1.9      0001/0400      0050/0090      0.01000        4.62544        4.62550        3.93683        0.15625
            2.0      0001/0400      0051/0090      0.01000        4.62622        4.62629        4.21148        0.03125
            2.0      0001/0400      0052/0090      0.01000        4.62565        4.62574        5.75684        0.00000
            2.0      0001/0400      0053/0090      0.01000        4.62387        4.62396        5.76717        0.09375
            2.0      0001/0400      0054/0090      0.01000        4.62278        4.62285        5.06574        0.00000
            2.0      0001/0400      0055/0090      0.01000        4.62436        4.62442        3.77327        0.18750
            2.0      0001/0400      0056/0090      0.01000        4.62368        4.62374        4.08143        0.06250
            2.0      0001/0400      0057/0090      0.01000        4.62289        4.62298        6.17631        0.06250
            2.0      0001/0400      0058/0090      0.01000        4.62406        4.62422       10.15456        0.09375
            2.0      0001/0400      0059/0090      0.01000        4.62292        4.62298        4.31039        0.09375
            2.0      0001/0400      0060/0090      0.01000        4.62315        4.62335       13.02496        0.09375
            2.0      0001/0400      0061/0090      0.01000        4.62249        4.62280       20.39096        0.03125
            2.1      0001/0400      0062/0090      0.01000        4.61965        4.61997       20.87799        0.03125
            2.1      0001/0400      0063/0090      0.01000        4.62049        4.62063        8.70790        0.03125
            2.1      0001/0400      0064/0090      0.01000        4.61804        4.61812        5.00123        0.09375
            2.1      0001/0400      0065/0090      0.01000        4.61646        4.61657        7.21144        0.03125
            2.1      0001/0400      0066/0090      0.01000        4.61656        4.61676       13.07068        0.03125
            2.1      0001/0400      0067/0090      0.01000        4.61425        4.61444       12.66311        0.06250
            2.1      0001/0400      0068/0090      0.01000        4.61517        4.61524        4.89023        0.03125
            2.1      0001/0400      0069/0090      0.01000        4.61411        4.61417        4.07534        0.06250
            2.1      0001/0400      0070/0090      0.01000        4.61174        4.61211       24.31083        0.00000
            2.1      0001/0400      0071/0090      0.01000        4.61215        4.61253       24.72928        0.06250
            2.1      0001/0400      0072/0090      0.01000        4.61328        4.61353       16.27818        0.12500
            2.1      0001/0400      0073/0090      0.01000        4.60917        4.60935       12.04946        0.03125
            2.2      0001/0400      0074/0090      0.01000        4.60819        4.60827        5.65114        0.03125
            2.2      0001/0400      0075/0090      0.01000        4.60984        4.60991        5.16327        0.09375
            2.2      0001/0400      0076/0090      0.01000        4.60777        4.60784        4.58002        0.09375
            2.2      0001/0400      0077/0090      0.01000        4.60692        4.60720       18.83293        0.00000
            2.2      0001/0400      0078/0090      0.01000        4.60620        4.60632        7.78180        0.03125
            2.2      0001/0400      0079/0090      0.01000        4.60640        4.60667       17.60714        0.06250
            2.2      0001/0400      0080/0090      0.01000        4.60460        4.60485       16.29335        0.06250
            2.2      0001/0400      0081/0090      0.01000        4.60262        4.60271        5.54507        0.00000
            2.2      0001/0400      0082/0090      0.01000        4.60127        4.60143       10.35979        0.00000
            2.2      0001/0400      0083/0090      0.01000        4.60088        4.60106       11.65620        0.03125
            2.2      0001/0400      0084/0090      0.01000        4.60020        4.60050       19.49586        0.00000
            2.3      0001/0400      0085/0090      0.01000        4.59950        4.60005       35.89497        0.00000
            2.3      0001/0400      0086/0090      0.01000        4.59950        4.59986       23.55546        0.03125
            2.3      0001/0400      0087/0090      0.01000        4.59801        4.59818       11.33438        0.03125
            2.3      0001/0400      0088/0090      0.01000        4.59979        4.59986        4.58932        0.03125
            2.3      0001/0400      0089/0090      0.01000        4.59842        4.59870       18.30083        0.00000
            2.7      0002/0400      0000/0090      0.01000        4.60254        4.60273       12.64804        0.03125
            2.7      0002/0400      0001/0090      0.01000        4.59592        4.59600        5.56897        0.12500
            2.7      0002/0400      0002/0090      0.01000        4.59932        4.59952       12.69348        0.00000
            2.7      0002/0400      0003/0090      0.01000        4.59764        4.59778        9.00070        0.09375
            2.8      0002/0400      0004/0090      0.01000        4.59741        4.59752        6.68712        0.06250
            2.8      0002/0400      0005/0090      0.01000        4.59546        4.59565       12.95420        0.00000
            2.8      0002/0400      0006/0090      0.01000        4.59695        4.59706        7.49776        0.06250
            2.8      0002/0400      0007/0090      0.01000        4.59534        4.59542        5.82486        0.09375
            2.8      0002/0400      0008/0090      0.01000        4.59462        4.59469        4.60335        0.09375
            2.8      0002/0400      0009/0090      0.01000        4.59422        4.59442       12.85952        0.06250
            2.8      0002/0400      0010/0090      0.01000        4.59433        4.59447        9.44768        0.03125
            2.8      0002/0400      0011/0090      0.01000        4.59310        4.59328       11.41710        0.09375
            2.8      0002/0400      0012/0090      0.01000        4.59254        4.59262        5.07345        0.00000
            2.8      0002/0400      0013/0090      0.01000        4.59276        4.59284        5.32160        0.09375
            2.8      0002/0400      0014/0090      0.01000        4.59204        4.59219        9.39485        0.03125
            2.9      0002/0400      0015/0090      0.01000        4.59220        4.59241       13.50351        0.12500
            2.9      0002/0400      0016/0090      0.01000        4.59006        4.59016        6.40954        0.12500
            2.9      0002/0400      0017/0090      0.01000        4.59003        4.59009        3.96030        0.06250
            2.9      0002/0400      0018/0090      0.01000        4.59116        4.59131        9.78016        0.00000
            2.9      0002/0400      0019/0090      0.01000        4.58946        4.58955        5.84950        0.06250
            2.9      0002/0400      0020/0090      0.01000        4.58930        4.58953       14.56345        0.09375
