           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.0      0000/0400      0000/0090      0.01000        4.62694        4.62725        5.16042        0.06250
            0.0      0000/0400      0001/0090      0.01000        4.62722        4.62754        5.18229        0.03125
            0.0      0000/0400      0002/0090      0.01000        4.62824        4.62855        5.06072        0.03125
            0.0      0000/0400      0003/0090      0.01000        4.62724        4.62750        4.26176        0.12500
            0.0      0000/0400      0004/0090      0.01000        4.62800        4.62826        4.33508        0.00000
            0.0      0000/0400      0005/0090      0.01000        4.62766        4.62794        4.61721        0.03125
            0.0      0000/0400      0006/0090      0.01000        4.62874        4.62902        4.72394        0.03125
            0.0      0000/0400      0007/0090      0.01000        4.62682        4.62710        4.66559        0.00000
            0.0      0000/0400      0008/0090      0.01000        4.62771        4.62796        4.08238        0.06250
            0.0      0000/0400      0009/0090      0.01000        4.62808        4.62835        4.37900        0.03125
            0.0      0000/0400      0010/0090      0.01000        4.62873        4.62901        4.48418        0.03125
            0.0      0000/0400      0011/0090      0.01000        4.62749        4.62776        4.51473        0.03125
            0.0      0000/0400      0012/0090      0.01000        4.62710        4.62735        4.12746        0.03125
            0.0      0000/0400      0013/0090      0.01000        4.62781        4.62809        4.47967        0.00000
            0.0      0000/0400      0014/0090      0.01000        4.62806        4.62830        3.96998        0.06250
            0.0      0000/0400      0015/0090      0.01000        4.62787        4.62814        4.41904        0.00000
            0.0      0000/0400      0016/0090      0.01000        4.62897        4.62920        3.89107        0.06250
            0.0      0000/0400      0017/0090      0.01000        4.63034        4.63058        3.93939        0.00000
            0.0      0000/0400      0018/0090      0.01000        4.62861        4.62887        4.25548        0.00000
            0.0      0000/0400      0019/0090      0.01000        4.62952        4.62976        3.93230        0.12500
            0.0      0000/0400      0020/0090      0.01000        4.63034        4.63058        4.06468        0.03125
            0.0      0000/0400      0021/0090      0.01000        4.62932        4.62956        3.83655        0.09375
            0.0      0000/0400      0022/0090      0.01000        4.62875        4.62899        3.87589        0.06250
            0.0      0000/0400      0023/0090      0.01000        4.62927        4.62951        3.77347        0.06250
            0.1      0000/0400      0024/0090      0.01000        4.63017        4.63040        3.84822        0.09375
            0.1      0000/0400      0025/0090      0.01000        4.63084        4.63108        3.99008        0.03125
            0.1      0000/0400      0026/0090      0.01000        4.62900        4.62926        4.15576        0.00000
            0.1      0000/0400      0027/0090      0.01000        4.62939        4.62967        4.55643        0.00000
            0.1      0000/0400      0028/0090      0.01000        4.63154        4.63176        3.68879        0.09375
            0.1      0000/0400      0029/0090      0.01000        4.62881        4.62904        3.81113        0.06250
            0.1      0000/0400      0030/0090      0.01000        4.63068        4.63092        4.01413        0.12500
            0.1      0000/0400      0031/0090      0.01000        4.63055        4.63078        3.78102        0.03125
            0.1      0000/0400      0032/0090      0.01000        4.63131        4.63153        3.67440        0.03125
            0.1      0000/0400      0033/0090      0.01000        4.63199        4.63224        4.15622        0.06250
            0.1      0000/0400      0034/0090      0.01000        4.63048        4.63072        3.98335        0.03125
            0.1      0000/0400      0035/0090      0.01000        4.63140        4.63162        3.67008        0.00000
            0.1      0000/0400      0036/0090      0.01000        4.62956        4.62977        3.42295        0.09375
            0.1      0000/0400      0037/0090      0.01000        4.62985        4.63009        3.95751        0.06250
            0.1      0000/0400      0038/0090      0.01000        4.63375        4.63398        3.72536        0.03125
            0.1      0000/0400      0039/0090      0.01000        4.63165        4.63188        3.66980        0.09375
            0.1      0000/0400      0040/0090      0.01000        4.62943        4.62966        3.79134        0.09375
            0.1      0000/0400      0041/0090      0.01000        4.62972        4.62997        4.17906        0.00000
            0.1      0000/0400      0042/0090      0.01000        4.63187        4.63212        4.05392        0.03125
            0.1      0000/0400      0043/0090      0.01000        4.63152        4.63176        3.90612        0.00000
            0.1      0000/0400      0044/0090      0.01000        4.62967        4.62991        3.93391        0.03125
            0.1      0000/0400      0045/0090      0.01000        4.63145        4.63170        4.10963        0.00000
            0.1      0000/0400      0046/0090      0.01000        4.63195        4.63217        3.52706        0.09375
            0.1      0000/0400      0047/0090      0.01000        4.63091        4.63114        3.69158        0.09375
            0.1      0000/0400      0048/0090      0.01000        4.63032        4.63061        4.75190        0.00000
            0.1      0000/0400      0049/0090      0.01000        4.63153        4.63179        4.30424        0.06250
            0.1      0000/0400      0050/0090      0.01000        4.63020        4.63046        4.22822        0.00000
            0.1      0000/0400      0051/0090      0.01000        4.63066        4.63091        3.99633        0.00000
            0.1      0000/0400      0052/0090      0.01000        4.63113        4.63139        4.23838        0.00000
            0.1      0000/0400      0053/0090      0.01000        4.63093        4.63118        4.13878        0.00000
            0.1      0000/0400      0054/0090      0.01000        4.62857        4.62885        4.50895        0.06250
            0.1      0000/0400      0055/0090      0.01000        4.62983        4.63006        3.76019        0.06250
            0.1      0000/0400      0056/0090      0.01000        4.62917        4.62943        4.36138        0.00000
            0.1      0000/0400      0057/0090      0.01000        4.63018        4.63042        3.98676        0.12500
            0.1      0000/0400      0058/0090      0.01000        4.63390        4.63417        4.42822        0.03125
