           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.0      0000/0400      0000/0090      0.01000        4.59735        4.59763        4.69625        0.03125
            0.0      0000/0400      0001/0090      0.01000        4.59687        4.59715        4.61066        0.00000
            0.0      0000/0400      0002/0090      0.01000        4.60037        4.60064        4.38557        0.06250
            0.0      0000/0400      0003/0090      0.01000        4.59637        4.59664        4.44753        0.00000
            0.0      0000/0400      0004/0090      0.01000        4.59785        4.59814        4.72065        0.00000
            0.0      0000/0400      0005/0090      0.01000        4.59778        4.59804        4.30558        0.03125
            0.0      0000/0400      0006/0090      0.01000        4.59757        4.59782        4.09964        0.06250
            0.0      0000/0400      0007/0090      0.01000        4.59961        4.59987        4.35251        0.03125
            0.0      0000/0400      0008/0090      0.01000        4.59854        4.59880        4.36946        0.03125
            0.0      0000/0400      0009/0090      0.01000        4.59709        4.59733        3.93432        0.06250
            0.0      0000/0400      0010/0090      0.01000        4.59789        4.59813        3.89671        0.00000
            0.0      0000/0400      0011/0090      0.01000        4.59902        4.59927        4.13408        0.06250
            0.0      0000/0400      0012/0090      0.01000        4.59866        4.59892        4.30887        0.06250
            0.0      0000/0400      0013/0090      0.01000        4.59755        4.59780        4.01439        0.00000
            0.0      0000/0400      0014/0090      0.01000        4.59747        4.59772        4.17559        0.03125
            0.0      0000/0400      0015/0090      0.01000        4.59835        4.59858        3.82894        0.06250
            0.0      0000/0400      0016/0090      0.01000        4.59732        4.59755        3.81690        0.12500
            0.0      0000/0400      0017/0090      0.01000        4.59862        4.59886        4.03594        0.03125
            0.0      0000/0400      0018/0090      0.01000        4.59920        4.59945        4.17995        0.06250
            0.0      0000/0400      0019/0090      0.01000        4.59695        4.59719        4.01761        0.00000
            0.0      0000/0400      0020/0090      0.01000        4.59994        4.60016        3.61316        0.12500
            0.0      0000/0400      0021/0090      0.01000        4.59839        4.59865        4.20495        0.03125
            0.0      0000/0400      0022/0090      0.01000        4.60187        4.60211        3.87708        0.03125
            0.0      0000/0400      0023/0090      0.01000        4.59772        4.59795        3.81320        0.03125
            0.1      0000/0400      0024/0090      0.01000        4.59925        4.59946        3.45510        0.12500
            0.1      0000/0400      0025/0090      0.01000        4.60258        4.60281        3.66079        0.12500
            0.1      0000/0400      0026/0090      0.01000        4.59915        4.59938        3.78577        0.03125
            0.1      0000/0400      0027/0090      0.01000        4.59916        4.59940        3.96808        0.00000
            0.1      0000/0400      0028/0090      0.01000        4.59980        4.60004        3.94678        0.06250
            0.1      0000/0400      0029/0090      0.01000        4.59980        4.60003        3.83676        0.12500
            0.1      0000/0400      0030/0090      0.01000        4.59952        4.59977        4.02855        0.06250
            0.1      0000/0400      0031/0090      0.01000        4.59963        4.59986        3.77789        0.15625
            0.1      0000/0400      0032/0090      0.01000        4.60342        4.60365        3.76332        0.00000
            0.1      0000/0400      0033/0090      0.01000        4.60297        4.60323        4.12871        0.03125
            0.1      0000/0400      0034/0090      0.01000        4.60737        4.60760        3.74665        0.06250
            0.1      0000/0400      0035/0090      0.01000        4.60441        4.60466        4.10935        0.06250
            0.1      0000/0400      0036/0090      0.01000        4.60273        4.60300        4.36419        0.06250
            0.1      0000/0400      0037/0090      0.01000        4.60240        4.60266        4.26269        0.03125
            0.1      0000/0400      0038/0090      0.01000        4.60372        4.60393        3.50413        0.03125
            0.1      0000/0400      0039/0090      0.01000        4.60627        4.60650        3.69813        0.03125
            0.1      0000/0400      0040/0090      0.01000        4.60496        4.60519        3.68556        0.06250
            0.1      0000/0400      0041/0090      0.01000        4.60347        4.60369        3.68910        0.03125
            0.1      0000/0400      0042/0090      0.01000        4.60480        4.60505        4.13374        0.03125
            0.1      0000/0400      0043/0090      0.01000        4.60287        4.60309        3.53738        0.09375
            0.1      0000/0400      0044/0090      0.01000        4.60444        4.60469        4.06333        0.03125
            0.1      0000/0400      0045/0090      0.01000        4.60569        4.60592        3.75703        0.09375
            0.1      0000/0400      0046/0090      0.01000        4.60424        4.60448        3.91072        0.12500
            0.1      0000/0400      0047/0090      0.01000        4.60504        4.60528        3.92427        0.06250
            0.1      0000/0400      0048/0090      0.01000        4.60392        4.60417        4.02512        0.00000
